,MIN_PRICE,MAX_PRICE,CLASSIFICATION_GENRE,VENUE_LATITUDE,VENUE_LONGITUDE
83628,69.98,79.98,R&B,36.1101115,-115.1708107
83689,10.0,20.0,Rock,38.602643,-90.175493
83727,19.0,19.0,Rock,33.806533,-117.912474
83774,30.0,85.0,Dance/Electronic,34.09850537,-118.32421313
83789,0.0,0.0,Jazz,42.37249,-71.12302
83813,45.0,100.0,Rock,38.747765,-90.509247
83818,29.95,29.95,Dance/Electronic,33.64245,-117.91764
83841,25.0,25.0,Rock,38.92561,-77.21158
83858,19.5,349.5,Latin,40.73340555,-74.17121214
83887,14.95,14.95,Dance/Electronic,32.71498,-117.16078
83910,20.0,20.0,Dance/Electronic,32.790188,-79.938335
83911,15.0,15.0,Alternative,42.636742,-83.291705
84002,30.0,75.0,R&B,32.7163734,-117.16008559
84029,28.0,70.0,Religious,43.94289,-88.37072
84035,32.0,64.0,Rock,29.226998,-81.010542
84050,39.5,89.5,Rock,39.744362,-104.990271
84064,60.0,180.0,Rock,42.341089,-83.055434
84074,20.0,20.0,Rock,34.077729,-118.260108
84085,15.0,15.0,Other,39.9849634,-83.0375112
84096,10.0,10.0,Dance/Electronic,42.36599,-71.0611
84098,15.0,15.0,Alternative,47.6134847,-122.314457
84099,24.0,29.0,Rock,34.102718,-118.327156
84119,15.0,15.0,Rock,39.741126,-75.550253
84125,0.0,0.0,R&B,41.5082658,-81.5803633
84138,10.0,25.0,Dance/Electronic,39.957705,-75.159035
84144,35.0,35.0,Folk,34.04024506,-118.2592392
84145,25.0,25.0,Rock,42.3518332,-71.1195379
84148,0.0,0.0,Other,41.5082658,-81.5803633
84151,0.0,0.0,Hip-Hop/Rap,41.5082658,-81.5803633
84184,50.0,50.0,Dance/Electronic,38.9631,-119.94034
84217,69.75,169.75,R&B,42.341089,-83.055434
84324,25.0,25.0,Dance/Electronic,40.721926,-73.957346
84336,76.0,101.0,Undefined,36.11923772,-115.17165653
84346,25.0,25.0,Metal,42.3323449,-83.041464
84379,30.0,75.0,Hip-Hop/Rap,41.49949386,-81.6910261
84391,15.0,15.0,Rock,47.713056,-122.570966
84404,28.0,28.0,Rock,42.3518332,-71.1195379
84417,55.0,299.95,Country,36.13674,-115.16126
84423,15.0,15.0,Rock,39.129949,-84.508882
84425,127.5,318.5,Rock,36.1207267,-115.1642896
84438,20.0,20.0,Dance/Electronic,33.508899,-86.797919
84472,88.5,252.0,Dance/Electronic,36.1207267,-115.1642896
84501,35.0,75.0,Rock,32.7163734,-117.16008559
84505,30.0,30.0,Pop,32.22193527,-110.96641541
84512,74.5,310.0,Rock,41.0013461,-73.6654488
84516,27.5,72.5,Rock,40.86969685,-73.42591099
84522,22.0,22.0,R&B,29.753929,-95.364056
84554,21.0,21.0,Dance/Electronic,32.225101,-110.969001
84569,27.5,70.0,Rock,32.748097,-117.131213
84591,30.0,65.0,Country,42.2794021,-83.7419107
84604,20.0,20.0,Blues,41.929086,-87.648951
84619,20.0,20.0,Blues,41.929086,-87.648951
84627,20.0,20.0,Blues,41.929086,-87.648951
84629,36.5,70.0,Pop,43.606728,-116.207386
84631,39.5,39.5,Rock,26.166888,-80.117058
84644,35.0,35.0,Rock,40.720364,-73.993542
84691,22.5,72.5,Hip-Hop/Rap,40.86969685,-73.42591099
84694,25.0,25.0,Undefined,42.9491984,-85.3505253
84698,41.0,71.0,Other,40.484138,-88.992789
84723,18.0,25.0,Dance/Electronic,41.49949386,-81.6910261
84729,92.0,193.0,Hip-Hop/Rap,39.9797685,-75.1576471
84731,20.0,20.0,Blues,41.929086,-87.648951
84763,35.0,35.0,Rock,33.999024,-81.035393
84774,76.0,101.0,Undefined,36.11923772,-115.17165653
84792,20.0,20.0,Metal,34.077729,-118.260108
84815,69.0,179.0,Pop,36.11726269,-115.17272405
84816,33.9,62.23,Country,36.175636,-86.755652
