artist_name,artist_spotify_id,scraped_popularity
Nick Norman Band,,-1
Billy Cobham,0IwfuIL3gUJxjzUqY3wJ3j,41
Grace Enger,49EzPBcvDdWe93QJcA7UPf,41
Jake Minch,7Lfq2a2cpwQBdDzo7SW1HC,34
Screamin Rebel Angels,,-1
The Fab Four,,-1
Soul Man Sam,,-1
Great Good Fine Ok,422RLznpwUa5FsQgnTlgUH,47
Soul of Motown,,-1
Classic Albums Live,,-1
Wilder Woods,26DytDdxKgr9N0tdrBSLs2,51
HAFFWAY,3GL9CphwkHjP0Niz2fTWJH,41
Kameron Marlowe,31n3CN1jSC5ALUJ9dwT8UI,64
Spencer Sutherland,6mjz3NMhNE5SK7GsbJIg6C,49
Stacey Ryan,3sXwEUqxSzb11VpuFa5cvJ,53
Cloe Wilder,4OmElN0ORkBfPbLi0vtCVf,29
Gerald Albright,3bhckpkRmz8mqONUceSutp,45
Ella Langley,6BRxQ8cD3eqnrVj6WKDok8,73
Shiner,07oHSnqyeLR2Upt5JDJjfy,25
Movements,1kkyfIopIiVvaPHHlbsfac,58
Citizen,0znuUIjvP0LXEslfaq0Nor,52
Downward,4UrucNI79ErkrEjHCbXKxU,30
Cowboy Junkies,3CYSRCHfilgR8DSbkCMp5j,47
Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,71
Larry Fleet,6MWr1SmTaCU5BJzOZxwJEw,58
Everette,7LsMipSvTHNPCHQwuKuz2C,22
Gary Clark Jr,,-1
Stephanie Lambring,7chfbqQEd0M1cJPwybXaZD,20
The Australian Bee Gees (Vegas),,-1
Dream Theater,2aaLAng2L2aWD2FClzwiep,65
Shawn Colvin,0K7VN4aHxHcEb7PqkfoIVA,44
Spencer Sutherland,6mjz3NMhNE5SK7GsbJIg6C,49
Mustache the Band,,-1
MJ LIVE - Michael Jackson Tribute,,-1
Soul of Motown,,-1
Sugar Candy Mountain,3y6SKYXXP4lrliD6CzVXH3,37
Jeff Rosenstock,0wNZvrIMNUCs24G0wFg2D6,48
Piano Man,,-1
Breaking Sound LA,,-1
Sophie Shaw,3RjvNp5md2SIGP5bPPN8bu,42
One Night of Queen,,-1
Breakthru Entertainment,,-1
The Mere Mortals,,-1
Ty Segall,58XGUNsRNu3cVOIOYk5chx,45
King Tuff,0uI2HyW0eIbTbyH3S2XDHI,35
Wilder Woods,26DytDdxKgr9N0tdrBSLs2,51
HAFFWAY,3GL9CphwkHjP0Niz2fTWJH,41
Young Culture,2LbKmGXwOFCFl4KJRAfMSr,30
The Man In Black: Tribute To Johnny Cash,,-1
Maruja,71ISXR7gtIq5E2AdI3jGf0,42
Hinder,6BMhCQJYHxxKAeqYS1p5rY,63
Umphrey's McGee,7mQilAy42MqNPqUFqK4Z0o,42
Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,69
Destroyer,22ojy4H4ZVpowC4lRRC8In,45
Arts Fishing Club,6DUKY45lfzxJLOfU0v9C0j,36
ZG Smith,6193nELC8UbTJPADZ1SAqM,25
Fink,2t9yJDJIEtvPmr2iRIdqBf,58
The Australian Bee Gees (Vegas),,-1
Disturbed,3TOqt5oJwL9BE2NG9MEwDa,76
Club Level Seating: Ball Arena,,-1
Two Friends,44Ewva5aHOX00EwaX2D2mh,55
Los Inquietos Del Norte,0pgvlX0BkfmeirXTDiNmya,69
Escuela Grind,75lXMXjUfNNbrBz6auGvvG,28
Exhorder,5kuYamMO00pHPdRQcAXWTl,37
Trombone Shorty,37ZvFp654tY74Z1D2TLOGR,46
Tank and the Bangas,5cAtakaadWHJLxmGKrKcX7,41
Pepper,1YK8JdPbiaMSnf4hrlBkGT,54
