VENUE_NAME,VENUE_CITY,CAPACITY
Lovedraft's Brewing Co.,Mechanicsburg,NA
Delmar Hall,Saint Louis,750
The Bronze Peacock at House of Blues Houston,Houston,200
Tipitina's,New Orleans,NA
Raleigh Improv,Cary,NA
The Church Nightclub,Denver,NA
Stereo Garden,Patchogue,NA
The Winchester,Lakewood,NA
Inn of the Mountain Gods Resort and Casino,Mescalero,NA
Barnato,Omaha,NA
Lil' Indies,Orlando,240
Sony Hall,New York,1000
The Vogel at Count Basie Center for the Arts,Red Bank,NA
Blue Note Jazz Club,New York,300.0
Birdland Theater,New York,100.0
Time Nightclub,Costa Mesa,750
Access at Aliante Casino & Hotel,North Las Vegas,NA
Brick and Mortar Music Hall,San Francisco,250
The Moroccan Lounge,Los Angeles,275
Atrium Health Amphitheater ,Macon,10000
Mystic Lake Casino Hotel,Prior Lake,NA
Big Night Live,Boston,2000
XL Live,Harrisburg,1000
The Paramount in concert with Northwell,Huntington,1573
191 Toole,Tucson,500
The Queen,Wilmington,700
Paramount Theatre,Seattle,3040.0
Brooklyn Bowl,Brooklyn,600
Michigan Theater,Ann Arbor,1700
Abraham Chavez Theatre,El Paso,2500
The Grand (Boston),Boston,800
The Theater at MGM National Harbor,National Harbor,3000
The Athenaeum Theatre,Columbus,863
The Basement East,Nashville,575
VooDoo at Harrah's Kansas City,Kansas City,1150
The 44 Sports Grill and Nightlife,Glendale,350
Kia Center,Orlando,1600
The Rock,Tucson,9500
Mohegan Sun Arena,Uncasville,10000
High Noon Saloon,Madison,NA
RYSE Nightclub,Saint Charles,881.0
